Date,Product,Units Sold,Unit Price,Total Revenue
2023-05-08,Product C,5,40.33,201.65
2023-08-06,Product A,1,30.93,30.93
2023-07-11,Product A,5,26.64,133.2
2023-10-09,Product B,19,32.17,611.23
2023-08-06,Product B,8,19.68,157.44
2023-07-22,Product D,13,47.09,612.17
2023-05-18,Product D,15,26.99,404.85
2023-05-10,Product D,10,48.57,485.7
2023-02-17,Product B,11,38.18,419.98
2023-12-03,Product C,13,11.7,152.1
2023-05-16,Product A,8,37.16,297.28
2023-01-26,Product B,11,16.7,183.7
2023-11-24,Product D,15,45.81,687.15
2023-10-21,Product D,13,49.96,649.48
2023-02-02,Product D,11,34.52,379.72
2023-08-25,Product C,4,35.82,143.28
2023-04-27,Product C,20,13.56,271.2
2023-04-24,Product C,8,32.16,257.28
2023-09-07,Product C,1,16.91,16.91
2023-05-23,Product A,5,36.37,181.85
2023-10-26,Product C,10,14.68,146.8
2023-02-08,Product C,6,15.8,94.8
2023-04-17,Product B,15,38.43,576.45
2023-12-30,Product B,20,24.62,492.4
2023-11-05,Product B,10,36.87,368.7
2023-04-20,Product D,12,36.41,436.92
2023-10-25,Product C,1,49.88,49.88
2023-08-20,Product D,16,16.24,259.84
2023-05-27,Product D,18,30.87,555.66
2023-08-04,Product B,3,29.05,87.15
2023-03-22,Product D,1,23.61,23.61
2023-04-02,Product A,16,21.22,339.52
2023-08-10,Product B,10,34.17,341.7
2023-11-17,Product A,9,43.29,389.61
2023-05-05,Product C,12,20.98,251.76
2023-05-20,Product C,5,21.07,105.35
2023-06-17,Product A,8,12.88,103.04
2023-10-22,Product D,17,46.12,784.04
2023-05-24,Product A,19,15.75,299.25
2023-05-28,Product B,15,17.0,255.0
2023-07-09,Product C,4,48.89,195.56
2023-10-31,Product C,17,30.92,525.64
2023-11-18,Product C,14,18.09,253.26
2023-01-01,Product B,11,13.67,150.37
2023-07-15,Product A,15,24.23,363.45
2023-07-10,Product C,7,38.91,272.37
2023-02-21,Product C,10,48.61,486.1
2023-08-11,Product B,18,24.75,445.5
2023-05-12,Product D,1,28.34,28.34
2023-10-24,Product C,17,24.41,414.97
2023-06-13,Product B,11,49.99,549.89
2023-08-01,Product B,13,22.16,288.08
2023-06-11,Product C,7,23.8,166.6
2023-11-22,Product B,14,37.63,526.82
2023-08-31,Product B,12,27.94,335.28
2023-10-09,Product D,4,32.29,129.16
2023-02-21,Product D,3,28.31,84.93
2023-04-25,Product A,4,24.88,99.52
2023-11-29,Product D,12,24.48,293.76
2023-06-16,Product C,19,10.89,206.91
2023-12-23,Product D,13,40.49,526.37
2023-03-12,Product D,5,29.08,145.4
2023-06-06,Product D,14,31.23,437.22
2023-09-10,Product D,8,13.92,111.36
2023-01-15,Product D,10,26.77,267.7
2023-01-05,Product C,9,46.69,420.21
2023-04-20,Product B,11,13.54,148.94
2023-06-27,Product D,13,24.84,322.92
2023-04-16,Product C,9,17.84,160.56
2023-10-19,Product A,9,36.15,325.35
2023-07-31,Product C,7,32.75,229.25
2023-05-02,Product D,12,23.98,287.76
2023-07-27,Product B,13,37.03,481.39
2023-04-20,Product C,13,48.79,634.27
2023-06-09,Product C,3,10.59,31.77
2023-07-14,Product A,19,12.13,230.47
2023-04-27,Product D,15,43.92,658.8
2023-04-08,Product A,2,12.11,24.22
2023-06-01,Product B,4,41.05,164.2
2023-01-12,Product C,16,17.75,284.0
2023-04-18,Product C,1,21.99,21.99
2023-03-12,Product B,2,14.54,29.08
2023-07-17,Product D,1,19.81,19.81
2023-08-21,Product D,10,47.68,476.8
2023-03-01,Product B,4,34.61,138.44
2023-01-27,Product C,13,34.25,445.25
2023-04-06,Product C,14,27.46,384.44
2023-02-16,Product C,10,10.27,102.7
2023-02-16,Product B,18,49.75,895.5
2023-10-08,Product D,19,11.45,217.55
2023-08-27,Product C,10,33.63,336.3
2023-06-23,Product D,19,31.96,607.24
2023-11-26,Product C,19,34.73,659.87
2023-07-14,Product B,12,26.29,315.48
2023-07-13,Product A,16,30.62,489.92
2023-09-25,Product D,11,30.89,339.79
2023-07-23,Product A,14,29.43,412.02
2023-05-01,Product D,15,32.89,493.35
2023-12-31,Product A,18,40.79,734.22
2023-05-20,Product D,2,33.35,66.7
