Date,Product,Units Sold,Unit Price,Total Revenue
2023-05-17,Product B,2,15.09,30.18
2023-05-02,Product D,13,37.64,489.32
2023-02-10,Product B,1,44.35,44.35
2023-06-22,Product A,7,23.88,167.16
2023-06-17,Product A,8,38.44,307.52
2023-11-23,Product C,5,34.78,173.9
2023-08-21,Product D,15,34.49,517.35
2023-02-12,Product A,13,45.82,595.66
2023-09-24,Product D,3,26.91,80.73
2023-08-12,Product B,5,16.48,82.4
2023-02-20,Product C,18,32.68,588.24
2023-03-08,Product A,15,16.4,246.0
2023-07-07,Product A,8,17.35,138.8
2023-06-12,Product C,3,38.47,115.41
2023-07-25,Product D,16,12.89,206.24
2023-04-22,Product C,17,11.46,194.82
2023-02-03,Product C,7,41.12,287.84
2023-04-17,Product C,7,26.01,182.07
2023-02-16,Product D,20,49.06,981.2
2023-07-03,Product A,9,21.4,192.6
2023-03-16,Product A,6,45.49,272.94
2023-12-20,Product C,15,26.61,399.15
2023-05-04,Product C,9,20.04,180.36
2023-07-27,Product C,15,14.19,212.85
2023-02-02,Product C,6,15.74,94.44
2023-11-18,Product B,10,47.97,479.7
2023-04-03,Product D,19,31.18,592.42
2023-03-19,Product D,13,45.42,590.46
2023-11-12,Product C,16,42.08,673.28
2023-02-06,Product D,15,20.81,312.15
2023-05-09,Product B,17,31.16,529.72
2023-01-27,Product A,15,14.97,224.55
2023-11-24,Product A,20,17.89,357.8
2023-07-29,Product A,20,30.95,619.0
2023-11-27,Product D,19,28.94,549.86
2023-02-08,Product D,2,12.92,25.84
2023-02-23,Product C,6,48.52,291.12
2023-02-03,Product B,16,27.56,440.96
2023-05-19,Product D,8,17.06,136.48
2023-06-12,Product C,11,38.28,421.08
2023-05-29,Product B,13,46.93,610.09
2023-08-24,Product C,2,18.04,36.08
2023-05-26,Product A,11,14.22,156.42
2023-11-16,Product D,3,26.46,79.38
2023-03-25,Product D,3,43.33,129.99
2023-01-26,Product B,7,26.75,187.25
2023-03-10,Product D,18,14.07,253.26
2023-04-28,Product A,1,14.36,14.36
2023-12-05,Product D,17,48.06,817.02
2023-09-25,Product B,14,49.07,686.98
2023-06-29,Product D,4,43.82,175.28
2023-05-13,Product B,5,49.85,249.25
2023-02-21,Product B,11,21.57,237.27
2023-06-03,Product C,3,42.81,128.43
2023-06-10,Product A,18,29.25,526.5
2023-07-26,Product C,2,30.62,61.24
2023-10-02,Product A,6,13.93,83.58
2023-03-28,Product D,17,16.28,276.76
2023-02-26,Product B,12,45.1,541.2
2023-05-31,Product C,20,12.55,251.0
2023-07-04,Product C,4,27.35,109.4
2023-11-28,Product C,13,34.59,449.67
2023-08-25,Product C,3,34.76,104.28
2023-07-21,Product A,9,24.04,216.36
2023-10-18,Product B,19,37.52,712.88
2023-08-29,Product C,10,38.19,381.9
2023-03-24,Product B,13,13.28,172.64
2023-08-19,Product D,5,16.49,82.45
2023-07-21,Product D,12,41.47,497.64
2023-11-14,Product C,8,42.56,340.48
2023-11-08,Product A,12,25.76,309.12
2023-07-22,Product A,11,18.84,207.24
2023-05-06,Product B,17,16.76,284.92
2023-11-21,Product C,12,32.06,384.72
2023-08-10,Product B,1,30.94,30.94
2023-08-06,Product B,4,33.97,135.88
2023-07-01,Product C,5,14.22,71.1
2023-01-27,Product C,6,13.62,81.72
2023-04-03,Product D,11,27.66,304.26
2023-10-29,Product C,5,32.88,164.4
2023-01-08,Product D,16,43.55,696.8
2023-07-27,Product B,7,16.43,115.01
2023-02-24,Product D,10,23.76,237.6
2023-01-27,Product A,1,18.06,18.06
2023-05-11,Product D,12,13.56,162.72
2023-06-28,Product A,1,30.46,30.46
2023-06-29,Product D,17,34.85,592.45
2023-03-22,Product C,4,15.67,62.68
2023-04-09,Product A,9,13.02,117.18
2023-11-28,Product C,4,17.26,69.04
2023-06-21,Product D,19,22.9,435.1
2023-01-30,Product A,4,16.65,66.6
2023-05-07,Product B,5,45.13,225.65
2023-07-17,Product D,9,45.75,411.75
2023-12-21,Product A,19,28.93,549.67
2023-08-12,Product A,12,38.85,466.2
2023-08-31,Product D,11,45.93,505.23
2023-03-04,Product A,11,30.78,338.58
2023-01-10,Product D,3,21.69,65.07
2023-06-09,Product C,12,24.2,290.4
