Date,Product,Units Sold,Unit Price,Total Revenue
2023-10-08,Product C,9,12.18,109.62
2023-06-06,Product C,7,12.94,90.58
2023-12-31,Product C,16,22.39,358.24
2023-10-23,Product D,8,45.25,362.0
2023-03-23,Product B,2,15.5,31.0
2023-11-20,Product B,10,13.71,137.1
2023-12-27,Product A,18,46.03,828.54
2023-03-12,Product D,15,49.69,745.35
2023-12-31,Product A,1,27.71,27.71
2023-05-26,Product B,11,24.28,267.08
2023-04-18,Product C,8,47.49,379.92
2023-08-12,Product A,17,22.97,390.49
2023-08-07,Product A,7,16.7,116.9
2023-10-06,Product A,14,10.6,148.4
2023-02-25,Product B,14,20.18,282.52
2023-08-21,Product A,17,27.35,464.95
2023-01-04,Product B,15,27.43,411.45
2023-03-10,Product C,16,19.58,313.28
2023-09-24,Product C,19,36.86,700.34
2023-09-08,Product D,12,37.96,455.52
2023-07-06,Product D,4,41.56,166.24
2023-12-28,Product D,1,22.95,22.95
2023-02-16,Product D,2,36.16,72.32
2023-07-23,Product D,15,40.31,604.65
2023-11-28,Product A,9,37.32,335.88
2023-11-10,Product B,2,37.19,74.38
2023-07-28,Product D,12,13.8,165.6
2023-07-01,Product B,12,26.3,315.6
2023-12-26,Product D,7,29.37,205.59
2023-09-07,Product B,17,21.9,372.3
2023-05-01,Product C,4,15.7,62.8
2023-12-30,Product D,6,24.12,144.72
2023-09-16,Product C,11,32.08,352.88
2023-03-08,Product B,15,34.02,510.3
2023-03-09,Product B,5,14.11,70.55
2023-02-17,Product D,8,24.86,198.88
2023-01-23,Product C,20,47.42,948.4
2023-04-22,Product D,6,20.72,124.32
2023-03-15,Product B,19,31.85,605.15
2023-04-03,Product C,14,33.76,472.64
2023-11-22,Product A,6,46.75,280.5
2023-09-28,Product A,17,43.83,745.11
2023-09-30,Product D,4,48.57,194.28
2023-07-05,Product B,2,33.15,66.3
2023-03-19,Product D,7,35.26,246.82
2023-05-10,Product D,14,38.42,537.88
2023-09-24,Product A,5,38.33,191.65
2023-05-03,Product C,1,37.33,37.33
2023-07-19,Product A,2,26.99,53.98
2023-04-18,Product A,19,36.7,697.3
2023-10-19,Product A,3,26.32,78.96
2023-08-09,Product D,20,46.01,920.2
2023-08-06,Product A,12,49.86,598.32
2023-04-20,Product B,10,16.64,166.4
2023-05-06,Product B,15,21.5,322.5
2023-09-03,Product B,16,17.28,276.48
2023-08-12,Product B,3,13.71,41.13
2023-08-30,Product C,19,15.47,293.93
2023-07-31,Product D,10,25.87,258.7
2023-02-13,Product C,5,44.67,223.35
2023-03-17,Product B,7,46.26,323.82
2023-07-23,Product C,20,33.49,669.8
2023-08-20,Product D,6,49.01,294.06
2023-09-24,Product B,10,29.8,298.0
2023-12-05,Product A,20,26.29,525.8
2023-03-13,Product D,17,35.86,609.62
2023-11-20,Product B,13,11.63,151.19
2023-10-16,Product A,18,29.79,536.22
2023-03-17,Product A,19,37.38,710.22
2023-07-11,Product B,6,27.41,164.46
2023-10-24,Product B,4,45.86,183.44
2023-04-25,Product B,18,41.55,747.9
2023-09-08,Product C,8,25.36,202.88
2023-03-19,Product D,11,46.69,513.59
2023-02-24,Product C,3,37.08,111.24
2023-10-01,Product D,16,18.5,296.0
2023-05-19,Product B,14,49.32,690.48
2023-06-28,Product B,2,14.24,28.48
2023-02-27,Product D,13,45.76,594.88
2023-11-29,Product A,7,47.82,334.74
2023-07-14,Product D,1,22.09,22.09
2023-04-30,Product D,8,30.13,241.04
2023-05-23,Product D,10,41.2,412.0
2023-01-09,Product D,19,15.58,296.02
2023-10-18,Product A,3,17.55,52.65
2023-11-29,Product C,17,46.75,794.75
2023-08-14,Product B,20,19.24,384.8
2023-02-22,Product D,9,43.85,394.65
2023-12-05,Product A,17,31.89,542.13
2023-01-09,Product D,10,32.93,329.3
2023-08-26,Product D,12,44.58,534.96
2023-07-30,Product D,16,35.51,568.16
2023-10-09,Product C,20,46.14,922.8
2023-10-05,Product C,14,22.72,318.08
2023-05-18,Product D,2,27.2,54.4
2023-02-28,Product D,9,34.95,314.55
2023-06-19,Product D,6,10.59,63.54
2023-06-04,Product A,15,24.68,370.2
2023-12-25,Product B,15,32.12,481.8
2023-10-23,Product A,4,39.62,158.48
