Date,Product,Units Sold,Unit Price,Total Revenue
2023-01-29,Product C,18,34.71,624.78
2023-06-13,Product B,13,23.09,300.17
2023-07-28,Product D,8,32.29,258.32
2023-01-07,Product B,8,23.82,190.56
2023-11-23,Product D,18,18.22,327.96
2023-08-08,Product B,1,24.44,24.44
2023-06-17,Product C,4,17.04,68.16
2023-06-02,Product C,2,40.32,80.64
2023-11-03,Product A,18,27.03,486.54
2023-07-29,Product B,2,22.49,44.98
2023-11-19,Product D,17,13.81,234.77
2023-07-10,Product B,11,12.58,138.38
2023-08-18,Product A,18,21.83,392.94
2023-02-11,Product A,10,39.29,392.9
2023-03-11,Product A,1,35.69,35.69
2023-01-04,Product B,6,12.71,76.26
2023-07-11,Product A,4,31.61,126.44
2023-10-16,Product D,16,17.67,282.72
2023-09-29,Product B,17,28.68,487.56
2023-11-12,Product C,7,22.92,160.44
2023-11-16,Product D,15,26.53,397.95
2023-03-17,Product A,3,13.51,40.53
2023-09-16,Product A,7,29.01,203.07
2023-05-12,Product D,18,13.29,239.22
2023-07-24,Product C,3,32.13,96.39
2023-08-22,Product A,19,41.71,792.49
2023-07-03,Product C,7,36.12,252.84
2023-04-13,Product D,11,17.79,195.69
2023-08-28,Product C,1,26.54,26.54
2023-12-11,Product A,17,36.15,614.55
2023-03-21,Product B,13,35.2,457.6
2023-01-13,Product D,19,33.01,627.19
2023-09-15,Product D,12,32.62,391.44
2023-06-11,Product A,16,11.73,187.68
2023-12-01,Product D,9,42.08,378.72
2023-05-16,Product A,14,13.35,186.9
2023-09-15,Product D,10,27.04,270.4
2023-06-23,Product D,20,11.8,236.0
2023-08-26,Product B,8,34.46,275.68
2023-09-22,Product D,10,10.38,103.8
2023-07-11,Product A,11,20.04,220.44
2023-08-30,Product D,14,20.99,293.86
2023-07-09,Product C,10,42.1,421.0
2023-11-02,Product B,6,45.89,275.34
2023-02-24,Product B,7,49.24,344.68
2023-09-29,Product A,8,19.32,154.56
2023-10-19,Product C,16,16.57,265.12
2023-11-20,Product C,4,15.41,61.64
2023-10-10,Product C,11,48.01,528.11
2023-01-22,Product C,6,35.38,212.28
2023-06-28,Product B,4,42.25,169.0
2023-06-28,Product B,3,20.94,62.82
2023-03-02,Product D,9,16.5,148.5
2023-01-14,Product B,17,24.04,408.68
2023-02-15,Product C,2,22.3,44.6
2023-09-06,Product D,9,33.53,301.77
2023-12-13,Product C,3,33.06,99.18
2023-10-28,Product C,5,16.06,80.3
2023-06-08,Product B,12,17.56,210.72
2023-04-27,Product A,20,23.01,460.2
2023-08-13,Product B,20,43.29,865.8
2023-11-16,Product B,4,18.48,73.92
2023-08-06,Product C,19,23.35,443.65
2023-01-17,Product D,6,25.67,154.02
2023-09-25,Product A,16,35.85,573.6
2023-09-23,Product A,19,36.09,685.71
2023-12-04,Product C,20,42.47,849.4
2023-11-21,Product B,17,31.18,530.06
2023-11-23,Product D,18,35.13,632.34
2023-01-13,Product B,9,23.82,214.38
2023-09-05,Product C,3,39.53,118.59
2023-09-09,Product D,4,28.51,114.04
2023-11-27,Product D,17,44.86,762.62
2023-06-29,Product C,14,32.98,461.72
2023-10-16,Product C,3,25.72,77.16
2023-08-07,Product D,11,18.64,205.04
2023-05-08,Product A,12,36.62,439.44
2023-06-18,Product D,12,29.74,356.88
2023-12-08,Product C,11,20.83,229.13
2023-07-24,Product D,18,40.35,726.3
2023-02-11,Product B,4,15.54,62.16
2023-03-23,Product D,10,26.01,260.1
2023-10-11,Product B,8,37.45,299.6
2023-08-30,Product B,5,39.4,197.0
2023-10-31,Product D,17,30.34,515.78
2023-12-03,Product B,3,22.69,68.07
2023-02-01,Product C,16,16.33,261.28
2023-02-01,Product A,2,44.52,89.04
2023-10-21,Product A,17,46.54,791.18
2023-05-27,Product B,9,48.14,433.26
2023-12-18,Product A,1,19.75,19.75
2023-03-08,Product A,1,23.59,23.59
2023-02-14,Product C,8,39.05,312.4
2023-11-17,Product C,19,43.74,831.06
2023-07-10,Product C,16,27.16,434.56
2023-10-09,Product A,11,35.83,394.13
2023-07-10,Product A,6,35.74,214.44
2023-01-31,Product B,12,39.34,472.08
2023-10-09,Product A,8,27.74,221.92
2023-10-22,Product D,15,30.6,459.0
