Date,Product,Units Sold,Unit Price,Total Revenue
2026-03-07,Product A,13,49.5,643.5
2026-04-19,Product C,4,20.05,80.2
2026-07-18,Product C,6,40.56,243.36
2026-04-26,Product D,15,36.02,540.3
2026-03-05,Product B,19,37.12,705.28
2026-11-24,Product D,11,37.15,408.65
2026-09-21,Product A,16,44.69,715.04
2026-12-10,Product A,15,28.61,429.15
2026-01-15,Product C,3,33.49,100.47
2026-03-03,Product B,17,12.73,216.41
2026-12-03,Product B,3,14.96,44.88
2026-05-25,Product D,10,19.25,192.5
2026-05-14,Product C,18,38.68,696.24
2026-12-24,Product A,8,31.26,250.08
2026-10-08,Product D,20,18.19,363.8
2026-11-24,Product D,20,18.73,374.6
2026-11-28,Product A,8,18.99,151.92
2026-11-26,Product B,9,11.45,103.05
2026-01-02,Product D,3,22.32,66.96
2026-05-27,Product D,7,19.59,137.13
2026-11-01,Product D,19,36.0,684.0
2026-12-25,Product C,13,12.63,164.19
2026-05-02,Product C,13,23.06,299.78
2026-12-11,Product A,14,41.49,580.86
2026-07-04,Product C,6,16.26,97.56
2026-11-25,Product D,3,28.33,84.99
2026-06-25,Product C,16,30.69,491.04
2026-03-10,Product C,14,19.67,275.38
2026-04-15,Product C,12,20.0,240.0
2026-09-21,Product C,17,24.09,409.53
2026-06-20,Product D,14,27.61,386.54
2026-10-07,Product D,3,45.33,135.99
2026-02-02,Product C,7,38.84,271.88
2026-03-10,Product C,4,21.42,85.68
2026-08-06,Product A,5,22.57,112.85
2026-02-04,Product C,3,49.47,148.41
2026-01-23,Product B,16,42.55,680.8
2026-09-26,Product C,10,49.55,495.5
2026-11-23,Product C,15,20.82,312.3
2026-12-24,Product C,9,14.34,129.06
2026-02-16,Product A,7,11.86,83.02
2026-01-04,Product C,16,11.24,179.84
2026-09-12,Product C,1,39.33,39.33
2026-04-30,Product B,7,48.48,339.36
2026-11-10,Product A,11,46.69,513.59
2026-09-30,Product D,6,40.71,244.26
2026-02-16,Product A,8,44.05,352.4
2026-06-14,Product C,16,32.9,526.4
2026-08-18,Product B,10,42.55,425.5
2026-12-19,Product B,19,23.24,441.56
2026-02-11,Product C,10,28.7,287.0
2026-01-15,Product C,20,47.48,949.6
2026-02-22,Product A,9,13.42,120.78
2026-11-25,Product B,2,15.5,31.0
2026-06-08,Product A,16,19.51,312.16
2026-08-27,Product C,2,34.51,69.02
2026-12-20,Product D,5,40.94,204.7
2026-04-14,Product C,3,34.84,104.52
2026-07-10,Product D,10,26.43,264.3
2026-01-07,Product D,4,15.81,63.24
2026-04-20,Product D,19,38.09,723.71
2026-09-11,Product B,20,31.9,638.0
2026-04-03,Product D,16,34.01,544.16
2026-03-16,Product D,9,10.11,90.99
2026-10-13,Product A,14,22.42,313.88
2026-03-10,Product D,16,24.52,392.32
2026-06-03,Product B,18,46.28,833.04
2026-10-13,Product B,11,41.21,453.31
2026-11-23,Product D,15,17.16,257.4
2026-11-24,Product B,15,23.42,351.3
2026-08-13,Product B,11,28.0,308.0
2026-04-18,Product D,17,49.78,846.26
2026-12-22,Product A,12,32.25,387.0
2026-07-19,Product C,14,20.81,291.34
2026-04-04,Product C,9,15.22,136.98
2026-12-28,Product B,15,10.77,161.55
2026-11-09,Product B,17,23.63,401.71
2026-05-26,Product A,2,37.77,75.54
2026-03-28,Product D,12,22.91,274.92
2026-11-21,Product C,4,48.54,194.16
2026-10-28,Product B,4,41.08,164.32
2026-06-24,Product C,9,34.26,308.34
2026-02-16,Product A,20,44.61,892.2
2026-03-16,Product C,1,46.93,46.93
2026-12-01,Product D,7,12.86,90.02
2026-09-12,Product C,15,17.86,267.9
2026-08-02,Product B,7,29.2,204.4
2026-04-03,Product A,3,39.9,119.7
2026-05-18,Product C,7,29.44,206.08
2026-04-18,Product D,12,11.75,141.0
2026-03-08,Product A,9,30.61,275.49
2026-04-30,Product B,10,12.04,120.4
2026-07-10,Product A,12,28.56,342.72
2026-07-30,Product D,8,16.01,128.08
2026-11-20,Product D,5,45.32,226.6
2026-11-04,Product B,17,25.47,432.99
2026-11-06,Product D,9,31.96,287.64
2026-09-07,Product D,18,14.74,265.32
2026-03-05,Product C,2,39.72,79.44
2026-02-14,Product A,13,10.26,133.38
