Date,Product,Units Sold,Unit Price,Total Revenue
2023-02-18,Product C,18,30.26,544.68
2023-01-24,Product A,8,38.79,310.32
2023-01-17,Product C,11,33.78,371.58
2023-06-24,Product B,7,42.57,297.99
2023-03-09,Product D,10,19.95,199.5
2023-04-15,Product D,2,12.78,25.56
2023-06-12,Product B,18,25.21,453.78
2023-02-01,Product C,13,16.1,209.3
2023-07-07,Product D,9,35.91,323.19
2023-09-14,Product D,15,49.07,736.05
2023-06-21,Product A,3,43.04,129.12
2023-02-19,Product D,2,40.91,81.82
2023-01-01,Product A,6,22.48,134.88
2023-03-20,Product D,19,11.11,211.09
2023-05-05,Product C,11,11.88,130.68
2023-11-16,Product B,17,20.98,356.66
2023-09-01,Product C,18,19.28,347.04
2023-01-10,Product D,16,42.23,675.68
2023-11-15,Product D,6,18.35,110.1
2023-01-08,Product C,1,33.71,33.71
2023-03-23,Product D,19,11.98,227.62
2023-11-26,Product B,20,14.5,290.0
2023-10-25,Product D,19,38.56,732.64
2023-04-09,Product C,5,43.11,215.55
2023-08-06,Product D,17,43.46,738.82
2023-10-08,Product D,16,34.07,545.12
2023-07-11,Product B,5,24.98,124.9
2023-08-29,Product B,14,44.07,616.98
2023-03-02,Product A,3,13.87,41.61
2023-08-18,Product B,12,38.32,459.84
2023-03-13,Product A,14,33.72,472.08
2023-05-23,Product B,15,12.06,180.9
2023-08-29,Product B,20,37.41,748.2
2023-04-28,Product D,8,30.45,243.6
2023-09-27,Product B,3,27.26,81.78
2023-03-11,Product D,9,21.41,192.69
2023-09-26,Product D,13,47.51,617.63
2023-02-07,Product D,18,13.51,243.18
2023-01-18,Product D,1,25.03,25.03
2023-06-18,Product D,5,37.46,187.3
2023-01-09,Product C,7,42.19,295.33
2023-02-04,Product B,5,21.02,105.1
2023-08-11,Product D,8,44.78,358.24
2023-05-11,Product B,13,45.75,594.75
2023-04-08,Product B,6,12.38,74.28
2023-11-22,Product B,17,46.99,798.83
2023-10-17,Product A,20,18.91,378.2
2023-09-22,Product D,10,31.45,314.5
2023-09-25,Product C,2,29.53,59.06
2023-10-23,Product C,14,18.34,256.76
2023-08-13,Product B,15,21.77,326.55
2023-08-02,Product C,16,21.71,347.36
2023-12-21,Product B,10,27.27,272.7
2023-10-05,Product C,10,49.08,490.8
2023-05-17,Product B,8,37.46,299.68
2023-10-23,Product B,10,20.87,208.7
2023-09-14,Product D,6,47.81,286.86
2023-05-01,Product B,19,27.74,527.06
2023-01-15,Product A,10,15.24,152.4
2023-10-22,Product C,19,47.6,904.4
2023-02-09,Product D,7,12.79,89.53
2023-08-01,Product C,10,27.48,274.8
2023-07-02,Product A,5,13.31,66.55
2023-04-13,Product C,9,12.12,109.08
2023-08-19,Product B,6,47.49,284.94
2023-08-07,Product D,1,16.49,16.49
2023-01-24,Product A,9,32.33,290.97
2023-06-25,Product A,7,43.5,304.5
2023-10-19,Product C,6,43.88,263.28
2023-09-16,Product B,20,13.07,261.4
2023-07-30,Product C,15,41.67,625.05
2023-11-16,Product A,5,41.88,209.4
2023-01-01,Product C,7,21.61,151.27
2023-10-25,Product B,1,34.17,34.17
2023-04-15,Product D,10,13.56,135.6
2023-11-29,Product A,12,44.16,529.92
2023-06-04,Product A,2,47.54,95.08
2023-02-24,Product D,15,15.75,236.25
2023-09-14,Product A,7,26.95,188.65
2023-05-29,Product B,9,27.03,243.27
2023-04-23,Product B,5,43.73,218.65
2023-11-25,Product B,3,43.45,130.35
2023-10-03,Product D,3,19.69,59.07
2023-10-24,Product A,1,31.5,31.5
2023-10-26,Product A,17,29.33,498.61
2023-08-05,Product C,10,12.46,124.6
2023-03-11,Product A,6,12.9,77.4
2023-10-15,Product D,17,44.67,759.39
2023-04-03,Product D,7,31.79,222.53
2023-10-04,Product D,17,49.18,836.06
2023-02-04,Product D,15,21.02,315.3
2023-03-12,Product A,18,28.79,518.22
2023-03-24,Product D,6,48.76,292.56
2023-08-10,Product B,10,37.32,373.2
2023-12-21,Product A,7,35.59,249.13
2023-09-27,Product C,11,13.43,147.73
2023-04-11,Product D,2,41.2,82.4
2023-12-18,Product D,6,36.85,221.1
2023-11-20,Product A,9,19.43,174.87
2023-02-21,Product B,10,28.03,280.3
